[20210523 17:51:19 INFO root] CLoginServer::Run: Tick = 257 > 100
[20210523 17:51:20 INFO root] CLoginServer::Run: Tick = 157 > 100
[20210523 17:51:20 INFO root] CLoginServer::Run: Tick = 195 > 100
[20210523 17:51:20 INFO root] CLoginServer::Run: Tick = 159 > 100
[20210523 17:51:21 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:51:21 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:51:22 INFO root] CLoginServer::Run: Tick = 195 > 100
[20210523 17:51:23 INFO root] CLoginServer::Run: Tick = 399 > 100
[20210523 17:51:24 INFO root] CLoginServer::Run: Tick = 329 > 100
[20210523 17:51:24 INFO root] CLoginServer::Run: Tick = 156 > 100
[20210523 17:51:24 INFO root] CLoginServer::Run: Tick = 153 > 100
[20210523 17:51:25 INFO root] CLoginServer::Run: Tick = 159 > 100
[20210523 17:51:26 INFO root] server tick time = 164 [41] [0]
[20210523 17:51:26 INFO root] CLoginServer::Run: Tick = 165 > 100
[20210523 17:51:26 INFO root] CLoginServer::Run: Tick = 199 > 100
[20210523 17:51:27 INFO root] CLoginServer::Run: Tick = 398 > 100
[20210523 17:51:28 INFO root] CLoginServer::Run: Tick = 303 > 100
[20210523 17:51:28 INFO root] CLoginServer::Run: Tick = 197 > 100
[20210523 17:51:28 INFO root] CLoginServer::Run: Tick = 158 > 100
[20210523 17:51:29 INFO root] CLoginServer::Run: Tick = 119 > 100
[20210523 17:51:29 INFO root] CLoginServer::Run: Tick = 122 > 100
[20210523 17:51:30 INFO root] CLoginServer::Run: Tick = 121 > 100
[20210523 17:51:30 INFO root] CLoginServer::Run: Tick = 195 > 100
[20210523 17:51:31 INFO root] CLoginServer::Run: Tick = 399 > 100
[20210523 17:51:31 INFO root] CLoginServer::Run: Tick = 333 > 100
[20210523 17:51:32 INFO root] CLoginServer::Run: Tick = 160 > 100
[20210523 17:51:32 INFO root] CLoginServer::Run: Tick = 153 > 100
[20210523 17:51:33 INFO root] CLoginServer::Run: Tick = 199 > 100
[20210523 17:51:33 INFO root] CLoginServer::Run: Tick = 122 > 100
[20210523 17:51:33 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:51:34 INFO root] CLoginServer::Run: Tick = 122 > 100
[20210523 17:51:34 INFO root] CLoginServer::Run: Tick = 203 > 100
[20210523 17:51:35 INFO root] CLoginServer::Run: Tick = 360 > 100
[20210523 17:51:35 INFO root] CLoginServer::Run: Tick = 350 > 100
[20210523 17:51:36 INFO root] CLoginServer::Run: Tick = 156 > 100
[20210523 17:51:36 INFO root] CLoginServer::Run: Tick = 153 > 100
[20210523 17:51:36 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:51:37 INFO root] CLoginServer::Run: Tick = 159 > 100
[20210523 17:51:37 INFO root] server tick time = 79 [79] [0]
[20210523 17:51:37 INFO root] CLoginServer::Run: Tick = 161 > 100
